#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-03-14 16:41:51"
#data_read_from_db	"2018-03-14 20:45:51"
#database_id	1695
#datapoints_in_db	122947
#database_reference_id	0
#integrated_value	0.23	6.3
#sample_label	"pvc-green0"
#sample_name	"Hobbycolor_Guttagliss_green_(PVC)"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-tizian|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=18 poweron=8435 [h] last_change=7304 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	58.1579	210
#intheta	58.1579
#inphi	210
#front_integral	0.229
#incident_and_front_integral	58.1579	210	0.229
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	121969
#format: theta	phi	[uA]

78.51909	118.76766	7.659e-05

78.61230	118.62369	6.975e-05

78.73079	118.44231	6.777e-05

78.84602	118.26739	7.300e-05

78.96274	118.09168	7.419e-05

79.06681	117.93616	7.366e-05

79.20035	117.73843	8.504e-05

79.29969	117.59251	8.694e-05

79.41974	117.41754	8.024e-05

79.53498	117.25091	8.531e-05

79.66219	117.06851	8.790e-05

79.78825	116.88924	7.923e-05

79.89562	116.73786	8.151e-05

80.06172	116.50642	8.347e-05

80.14388	116.39174	9.190e-05

80.26312	116.22743	1.049e-04

80.37582	116.07339	1.058e-04

80.50279	115.90106	1.038e-04

80.63265	115.72631	1.045e-04

80.76701	115.54696	1.086e-04

80.87095	115.40925	1.065e-04

81.00645	115.23106	1.098e-04

81.13976	115.05715	1.082e-04

81.26014	114.90131	1.200e-04

81.37566	114.75283	1.193e-04

81.51215	114.57872	1.323e-04

81.63849	114.41877	1.303e-04

81.76537	114.25932	1.348e-04

81.90315	114.08752	1.328e-04

82.04359	113.91377	1.384e-04

82.16122	113.76931	1.492e-04

82.28529	113.61797	1.412e-04

82.42038	113.45438	1.355e-04

82.55098	113.29739	1.531e-04

82.68419	113.13843	1.590e-04

82.82511	112.97151	1.623e-04

82.95744	112.81596	1.737e-04

83.11080	112.63702	1.776e-04

83.22308	112.50697	1.760e-04

83.36877	112.33932	1.875e-04

83.49644	112.19348	1.940e-04

83.63807	112.03282	1.794e-04

83.78307	111.86961	1.845e-04

83.91006	111.72761	1.851e-04

84.04871	111.57367	2.034e-04

84.19421	111.41328	2.137e-04

84.36411	111.22742	2.126e-04

84.47024	111.11216	2.061e-04

84.62168	110.94874	2.031e-04

84.75153	110.80952	2.005e-04

84.89983	110.65172	2.203e-04

85.03883	110.50480	2.035e-04

85.17936	110.35724	1.996e-04

85.33342	110.19657	2.005e-04

85.47449	110.05056	2.092e-04

85.61712	109.90391	2.101e-04

85.77123	109.74653	2.203e-04

85.92651	109.58914	2.200e-04

86.04848	109.46631	2.081e-04

86.20307	109.31160	2.132e-04

86.34594	109.16962	2.234e-04

86.50217	109.01541	2.028e-04

86.64942	108.87109	2.035e-04

86.78967	108.73443	2.105e-04

86.97742	108.55286	2.124e-04

87.13400	108.40133	2.272e-04

87.23598	108.30531	2.199e-04

87.38506	108.16393	2.127e-04

87.53561	108.02200	2.058e-04

87.69361	107.87409	2.189e-04

87.84222	107.73582	2.284e-04

88.00409	107.58628	2.009e-04

88.16776	107.43621	1.871e-04

88.30551	107.31055	1.961e-04

88.46281	107.16650	1.991e-04

88.61811	107.02828	2.020e-04

88.77250	106.89025	1.980e-04

88.92490	106.75480	1.785e-04

89.07019	106.62656	1.690e-04

89.23100	106.48527	1.613e-04

89.39734	106.34034	1.709e-04

89.53960	106.21707	1.605e-04

89.71980	106.06187	1.472e-04

89.85457	105.94663	1.507e-04

89.96604	-59.96411	1.530e-04

